No,Judul,Genre,Penulis,Sinopsis,Tahun Terbit,Halaman,Rating,Mood Utama,Mood Pendukung1,Mood Pendukung2,Cover
48,Suspect in My Sight,Romance,Bella Pustika,"Kamera DSLR Citra hilang.
Lima penghuni, lima alibi, satu kecurigaan besar.
Demi membuktikan dirinya tak bersalah, Tara menyelidiki satu per satu penghuni… termasuk Sebastian, si cowok sok keren yang lebih suka menyalahkan orang daripada mencari solusi.

Namun siapa sangka, proses mencari kamera justru membuat dia makin sering berhadapan dengan Sebastian yang menyebalkan tapi anehnya bikin penasaran.
Apakah Sebastian pencuri kamera itu?

Atau justru orang yang diam-diam  mencuri hatinya?",2026,360,4,Suspenseful,Happy/Funny,Hopeful,covers/suspect_in_my_sight.jpg
49,A Deal with the Diplomat,Romance,Ratri Catty,"Ketika ibunya sakit dan biaya pengobatan tak terjangkau, Najeena Hana Aditama terpaksa menerima tawaran pernikahan dari Gibran Agha Sudjiwo, seorang diplomat muda yang dingin, tegas, dan nyaris tak tersentuh. Pernikahan ini bukan tentang cinta, melainkan sekadar kesepakatan. Jeena yang ambisius berusaha mengendalikan situasi, tapi justru menemukan dirinya kalah oleh dominasi Gibran yang tak tergoyahkan. Di antara batasan yang mereka buat sendiri, perlahan rasa-rasa yang tak terduga muncul. Namun, ketika masa lalu, kecemburuan, dan ambisi mulai menguji hubungan mereka, Jeena dan Gibran harus menghadapi kenyataan: apakah pernikahan ini hanya sebatas kontrak, atau takdir menyimpan rencana lain untuk mereka?",2025,315,2,Emotional,Hopeful,Heartwarming,covers/a_deal_with_the_diplomat.jpg
50,When the Sky is Blooming,Romance,Ilana Tan,"Mendadak digosipkan berpacaran dengan aktor idola yang sedang populer? Mendadak dicap sebagai aktris picisan tidak tahu diri yang hanya ingin terkenal? Memang merepotkan, tetapi bukan masalah yang terlalu besar. So-ra masih bisa menghadapinya sendiri. Ada satu masalah lain yang lebih membutuhkan perhatian, yaitu masalah menyangkut kemunculan seorang pria dari masa lalu So-ra yang sudah dilupakannya sama sekali.

Sebaliknya, Jun tidak pernah lupa. Ia telah berusaha melacak keberadaan So-ra selama beberapa waktu dan akhirnya berhasil menemukan wanita itu berkat gosip yang tersebar di internet. Jadi, yang harus dilakukan Jun sekarang adalah pergi menemui So-ra dan mengakhiri hubungan di antara mereka secara resmi. Setelah itu, ia bisa kembali melanjutkan hidup. Sederhana.

Sayangnya—atau untunglah —kenyataan tidak sesederhana yang diharapkan.
",2024,400,"3,83",Emotional,Hopeful,Reflective,covers/when_the_sky_is_blooming.jpg
51,The Reappearance of Rachel Price,Mystery/Thriller,Holly Jackson,"Enam belas tahun lalu, Rachel Price menghilang. Bel yang masih kecil menjadi satu-satunya saksi meski tidak mengingat apa pun. Kini berumur 18 tahun, Bel masih berada di bawah bayang-bayang misteri hilangnya sang ibu. Bayangan sang ibu seolah makin pekat ketika keluarga Price setuju menjadikan kasus Rachel Price sebagai film dokumenter kejahatan nyata. Bel tidak sabar menunggu syuting selesai agar hidupnya bisa kembali normal. Tetapi, hal yang mustahil terjadi: Rachel Price yang selama ini dianggap mati, kini muncul kembali. Kehadiran kembali Rachel memorakporandakan kehidupan yang Bel miliki. Ia bahkan yakin ibunya berbohong. Mungkinkah Rachel selama ini bersembunyi? Apakah dia berbahaya? Dengan kamera yang terus merekam, Bel harus mengungkap kebenaran tentang ibunya, dan mencari alasan sesungguhnya Rachel Price kembali dari kematian.",2026,584,"4,08",Suspenseful,Thrilling,Dark,covers/the_reappearance_of_rachel_price.jpg
52,Testimony of N,Mystery/Thriller,Minato Kanae,"Mayat sepasang suami istri paruh baya ditemukan di sebuah unit apartemen super mewah. Di tempat kejadian, empat anak muda memberikan kesaksian yang akhirnya menjebloskan salah satunya ke balik jeruji besi. Namun, ada kebohongan kecil dalam setiap kesaksian mereka, yang lahir dari keinginan untuk melindungi seseorang. Saat mereka mulai buka mulut tentangnya 10 tahun kemudian, sekelam apakah kebenaran yang pada akhirnya muncul?",2026,312,"3,48",Suspenseful,Thrilling,Dark,covers/testimony_of_n.jpg
53,Orang-Orang Hilang di Kyushu,Mystery/Thriller,Han Go-un,"Seorang jurnalis terkenal, seorang wanita penghibur, seorang dealer mobil bekas, seorang dosen bahasa Jepang, dan seorang calon pewaris perusahaan menerima surat aneh yang beramplopmerah muda. Lalu, mereka berlima lenyap tanpa jejak di Kyushu. Saat keluarga dan kerabat terdekat mencari kelima orang itu, mereka mendapati fakta bahwa orang-orang yang hilang itu mendapatkan surat dari seseorang yang telah mati 16 tahun lalu.",2026,160,"2,43",Suspenseful,Thrilling,Dark,covers/orang_orang_hilang_dikyushu.jpg
54,Membunuh Alice,Mystery/Thriller,Yasumi Kobayashi,"Akhir-akhir ini, Kurisugawa Ari sering dihantui mimpi tentang Alice di Negeri Ajaib. Ketika ia bermimpi tentang Humpty Dumpty yang tercerai-berai di tanah setelah terjatuh dari tembok, seorang peneliti yang dijuluki si Telur di kampusnya jatuh dari atap gedung dan tewas seketika. Ketika ia bermimpi tentang Gryphon yang mati tersedak tiram mentah, seorang dosen di kampusnya juga tewas saat makan tiram. Sepertinya kematian seorang tokoh di dunia mimpi menandakan seseorang juga pasti akan menemui ajal di dunia nyata. Situasi semakin kacau ketika Tukang Topi Gila dan Kelinci Maret di Negeri Ajaib menuduh Alice sebagai pembunuh. Jika Alice dihukum mati di Negeri Ajaib, apa yang akan terjadi di dunia nyata? Sadar bahwa Imori, teman sekampusnya, juga dihantui mimpi yang sama, Ari mulai menyelidiki misteri ini bersama Imori... sebelum nyawanya sendiri melayang.",2026,360,"3,39",Suspenseful,Thrilling,Dark,covers/membunuh_alice.jpg
55,Teka-Teki Gambar Aneh,Mystery/Thriller,Uketsu,"Gambar yang dibuat seorang wanita hamil di internet... Gambar yang dibuat seorang anak kecil sebagai hadiah Hari Ibu... Gambar yang dibuat seorang korban pembunuhan di saat-saat terakhirnya... Jika dilihat sekilas, gambar-gambar ini terkesan biasa saja. Namun, jika dicermati lebih dalam, di sana-sini terdapat keganjilan... keganjilan yang akhirnya mendorong seorang detektif amatir menyusuri labirin penuh teka-teki yang mengarah pada sebuah kenyataan mengerikan. ",2026,312,"3,93",Suspenseful,Dark,Thrilling,covers/teka_teki_gambar_aneh.jpg
56,The Da Vinci Code,Mystery/Thriller,DanBrown,"Robert Langdon menerima telepon misterius yang mengundangnya ke Museum Louvre Paris pada tengah malam. Sesampai di sana, yang ditemui Langdon adalah mayat telanjang sang kurator museum dengan posisi dan tato aneh di perutnya. Langdon terkejut ketika menyadari bahwa teka-teki itu mengarah ke misteri terbesar sepanjang sejarah yang petunjuknya tersembunyi dalam karya-karya Da Vinci. Misteri tentang persaudaraan rahasia yang melibatkan nama-nama besar. Persaudaraan yang menjaga sebuah fakta sejarah yang sangat mengejutkan. Fakta yang bisa mengguncang keyakinan miliaran manusia di dunia. Dengan bantuan kriptolog Sophie Neveu, Langdon berusaha memecahkan misteri itu sambil berusaha menghindari kejaran polisi sepanjang Paris, London, dan kota lainnya. Langdon harus segera memecahkan misteri itu dan mengalahkan musuh tersembunyi yang menghadang di setiap langkah mereka dan mengancam nyawa.",2026,584,"3,94",Suspenseful,Thrilling,Dark,covers/the_da_vinci_code.jpg
57,Yang Tersisa dari Kematian,Mystery/Thriller,Chen Xue,"Li Haiyan menyimpan rahasia kelam, yaitu masa lalunya sebagai anak dari tersangka pembunuhan. Bertahun-tahun kemudian, satu telepon misterius membawanya kembali ke kampung halaman, ke hutan persik yang menyimpan lebih banyak luka daripada yang bisa dia bayangkan. Dalam pencarian kebenaran bersama seorang detektif yang juga dihantui masa lalu, mereka menggali kembali tragedi, cinta, dan rasa bersalah yang tidak pernah benar-benar mati.",2025,300,"3,98",Suspenseful,Dark,Reflective,covers/yang_tersisa_dari_kematian.jpg
58,Silent Parade,Mystery/Thriller,Kaigo Higashino,"Seorang gadis populer menghilang tanpa jejak, tulang-tulangnya ditemukan tiga tahun kemudian di puing rumah yang terbakar. Polisi menemukan beberapa bukti yang menunjukkan keterlibatan seorang laki-laki, tapi tak bisa mendapatkan bukti yang membuktikan laki-laki itu sebagai si pembunuh. Laki-laki itu ditahan tapi kemudian dibebaskan karena kurangnya barang bukti.

Ini bukanlah kali pertama laki-laki itu lolos dari jerat hukum, nyaris dua puluh tahun lalu dia diseret ke pengadilan karena sebuah kasus pembunuhan tapi akhirnya dibebaskan karena bukti yang tidak memadai. Si tersangka dengan cerdik mengeksploitasi sebuah celah hukum, dan membuat frustrasi Kusanagi, polisi yang bertugas menyelidiki kedua kasus itu.

Kusanagi berjanji untuk terus berusaha mencari bukti yang diperlukan agar pria itu diadili. Tapi tiba-tiba si tersangka ditemukan meninggal. Mengingat betapa banyaknya orang yang menginginkan kematian lakilaki itu, polisi merasa kematiannya mencurigakan. Tapi semua orang yang memiliki motif untuk membunuhnya memiliki alibi kuat.

Kusanagi memutuskan untuk sekali lagi meminta bantuan sahabatnya, Yukawa Manabu sang Detektif Galileo, untuk membantunya menyelesaikan teka-teki ini dan membuktikan kematian sang tersangka merupakan pembunuhan.",2025,512,"3,92",Suspenseful,Thrilling,Dark,covers/silent_parade.jpg
59,The Thursday Murder Club,Mystery/Thriller,Richard Osman,"Desa Pensiunan Coopers Chase selalu tenang, selalu damai, selalu membosankan. Demi bersenang-senang, Elizabeth, Ibrahim, dan Ron mendirikan The Thursday Murder Club, dan Joyce, mantan perawat, menjadi anggota terbaru mereka. Tiap Kamis, keempatnya berkumpul untuk membahas kasus-kasus pembunuhan yang tak terpecahkan.

Hingga, suatu hari, seorang pria yang bekerja sebagai kontraktor di desa itu ditemukan digebuk sampai tewas. Kasus pertama sungguhan yang bisa kelompok itu usut hingga tuntas!

Umur boleh nyaris kepala delapan, tetapi bukan berarti mereka berempat jadi lamban. Penyelidikan mereka lakukan, calon tersangka sudah diputuskan, tetapi korban lain ditemukan dan semua progres kasus pun berantakan. Ketika keluarga salah seorang anggota klub dicurigai polisi, mampukah mereka tetap objektif dan menemukan pelaku sesungguhnya dari kedua pembunuhan ini?",2025,436,"3,85",Suspenseful,Happy/Funny,Thrilling,covers/the_thursday_murder_club.jpg
60,Respati dan Tujuh Warna Kematian,Mystery/Thriller,Ragiel JP,"Setelah kasus mayat terbalik, kali ini aku harus menghadapi kasus Pelangi Kedelapan. Mimpi-mimpi yang menghantuiku kini tentang mereka yang mati dalam keadaan tubuh dilumuri cat berwarna pelangi. Selain itu, di sisi mayat selalu terdapat bunga berwarna sama dengan cat di tubuh mereka. Aku mulai berpikir, apakah kasus Pelangi Kedelapan ini ada hubungannya dengan kasus mayat terbalik? Aku sekarang bahkan dimintai tolong untuk memodifikasi mimpi seorang tunanetra, dunia mimpi yang tidak pernah terbayangkan olehku. Makin aku mempelajari dunia mimpi, makin banyak rahasia yang kutemukan. Hal itu membuatku menduga-duga, apakah masih ada Raunt lain di luar sana?",2025,360,"4,5",Suspenseful,Thrilling,Dark,covers/respati_dan_tujuh_warna_kematian.jpg
61,Margo dan Rahasia Setengah Abad,Mystery/Thriller,Aghnia Sofyan,"Margo berhasil meraih beasiswa untuk jadi siswi SMA Manggala Utama yang super ngetop! Akhirnya, Margo tinggal selangkah lagi untuk bergabung ke ekskul impiannya, Manggala Future (MF), yang selalu mencetak calon-calon pengusaha sukses. Namun, langkah Margo dijegal oleh Raja si tukang rundung. Raja menantang Margo untuk menyiapkan uang lima belas juta sebagai tanda kontribusi di ekskul MF yang elite! Di saat itulah, Margo mendapat petunjuk tentang harta karun yang terkubur di balik tembok sekolah.",2025,304,"4,39",Hopeful,Suspenseful,Inspiring,covers/margo_dan_rahasia_setengah_abad.jpg
62,Kendat,Mystery/Thriller,Angga Wiwaha,"Atas terjadinya tiga kasus bunuh diri yang aneh dan berbarengan di Kota P, sontak media massa kompak menjuluki kota itu sebagai Kota Kendat. Kota Gantung Diri. Arya Fakhruddin, seorang wartawan media lokal, ditugaskan untuk menelusuri kebenaran di balik kasus ini sampai tuntas. Bosnya, Parait Siregar, mencurigai bahwa ketiga peristiwa itu diorkestrasi oleh seseorang. Tanpa dinyana, pihak kepolisian mencurigai bos media lokal itulah yang terlibat, akibat terkait langsung dengan percobaan bunuh diri seorang artis besar ibukota. Dalam usahanya, Arya pun harus berkejaran dengan waktu dan polisi untuk mengungkap kebenaran kasus ini, atau citra kota tercintanya sebagai Kota Kendat akan abadi di benak masyarakat.",2025,320,"3,29",Suspenseful,Thrilling,Dark,covers/kendat.jpg
63,A Curtain Twitcher's Book of Murder,Mystery/Thriller,Gay Marris,"“Tanyakan kepada warga Atbara Avenue, seberapa baik mereka mengenal tetangganya?” London, 1968. Atbara Avenue tampak seperti jalanan pinggiran biasa. Namun, di balik tirai yang tertutup rapat, tersembunyi banyak rahasia gelap. Di jalan ini, pembunuhan bukanlah sesuatu yang mengejutkan. Bahkan malah menjadi solusi. Antara ibu dan anak, pasangan kekasih, saudara kembar, atau bahkan orang asing, tidak ada yang benar-benar aman. Pada siang hari, kehidupan berjalan normal. Seolah semuanya baik-baik saja. Namun, benarkah begitu? Atau justru, semakin akrab kau dengan tetanggamu, semakin besar bahaya yang mengintaimu?",2025,268,"3,92",Dark,Suspenseful,Thrilling,covers/a_curtain_twitchers_book_of_murder.jpg
64,Kandidat Terlarang,Mystery/Thriller,Ana Latifa,"Tiga tahun lalu, kakaknya ditemukan tewas. Polisi kehabisan petunjuk. Sementara itu, orangtuanya yakin bahwa Laut pelakunya. Sekarang, seorang kandidat Ketua OSIS kesayangan sekolah diserang hingga dilarikan ke IGD. Semua spekulasi, lagi-lagi, mengarah kepada Laut sebagai pelaku. Seorang biang onar yang mencalonkan diri menjadi ketos jelas-jelas mencurigakan. Meski semua jari menunjuknya, Laut bersikeras mengaku tidak bersalah. Saat mencoba membersihkan namanya, Laut justru menarik benang-benang masa lalu yang belum tuntas. Hingga perlahan, Laut sadar bukan hanya posisinya sebagai kandidat yang terancam—melainkan juga hidupnya.",2025,200,"3,73",Suspenseful,Thrilling,Dark,covers/kandidat_terlarang.jpg
65,How to Kill Your Husband,Mystery/Thriller,Aghnia Sofyan,"Aku ingin membunuh suamiku. Apakah kau juga begitu? Akui saja. Setidaknya pasti ada sedikit keinginan itu di hatimu. Kalau tidak, untuk apa kau membaca tulisan ini? * Seorang pria tewas karena jatuh dari ketinggian. Petunjuk yang ada mendorong Inspektur Polisi Satu Bonita Gamal untuk mencurigai Serena Natalegawa, istri korban. Namun, penyelidikan menuntun Boni pada rahasia gelap orang-orang terdekat korban yang saling berkelindan. Benarkah Serena telah membunuh suaminya sendiri? Atau semua ini tak sesederhana yang Boni kira?",2025,272,"4,34",Suspenseful,Dark,Thrilling,covers/how_to_kill_your_husband.jpg
66,Another Monster: The Investigative Report,Mystery/Thriller,"Wener Weber, Naoki Urasawa, Takashi Nagasaki","Apa alasan dan proses di balik kehancuran Kinderheim 511, serta bagaimana itu bisa terjadi? Apa rahasia dan tujuan di balik eksperimen yang terjadi di “Griya Mawar Merah”? Siapakah Franz Bonaparta dan ibu si kembar? Kini isi cerita dari kartun animasi The Magnificent Steiner akan diungkap untuk pertama kalinya! Dan apakah novel horor Dorn im Dunklen serta buku cerita Das Schlafende Monstrum itu? Sebuah pengungkapan lengkap dari catatan Grimmer. Misteri yang tersembunyi pada buku cerita yang baru ditemukan. Apakah ada monster lainnya?",2025,440,"4,26",Suspenseful,Dark,Reflective,covers/another_monster_the_investigative_report.jpg
67,Kota Kertas,Mystery/Thriller,John Michael Green,"Saat Margo Roth Spiegelman mengajak Quentin Jacobsen pergi tengah malam—berpakaian seperti ninja dan punya daftar panjang rencana pembalasan—cowok itu mengikutinya. Margo memang suka menyusun rencana rumit, dan sampai sekarang selalu beraksi sendirian. Sedangkan Q, ia senang akhirnya bisa berdekatan dengan gadis yang selama ini hanya bisa dicintainya dari jauh tersebut. Hingga pagi datang dan Margo menghilang lagi. Gadis yang sejak dulu merupakan teka-teki itu sekarang jadi misteri. Namun, ada beberapa petunjuk. Semuanya untuk Q. Dan cowok itu pun sadar bahwa semakin ia dekat dengan Margo, semakin ia tidak mengenal gadis tersebut.",2025,360,"3,7",Reflective,Hopeful,Suspenseful,covers/kota_kertas.jpg
68,Malam Sunyi Hercule Poirot,Mystery/Thriller,Sophie Hannah,"Tanggal 19 Desember 1931. Hercule Poirot dan Inspektur Edward Catchpool sedang menantikan liburan Natal yang damai ketika mereka dipanggil menyelidiki kasus pembunuhan seorang pria di rumah sakit di Norfolk. Cynthia Catchpool, ibu Edward, bersikeras Poirot ikut dengannya dan tinggal di mansion yang nyaris runtuh di tepi pantai, supaya mereka semua bisa melewatkan Natal bersama sambil menyelidiki kasus. Dalam penyelidikannya, Poirot menyadari bahwa korban adalah mantan kepala kantor pos yang disukai banyak orang. Kepolisian setempat gagal menemukan seseorang yang bisa memasuki kamar rawat rumah sakit dan membunuh korban di depan para staf rumah sakit. Teman Cynthia, Arnold, akan segera masuk rumah sakit yang sama dan istri Arnold yakin bahwa Arnold akan menjadi korban berikut si pembunuh, walaupun ia menolak menjelaskan alasannya. Tanpa motif dan tersangka yang jelas, Poirot punya waktu kurang dari seminggu untuk memecahkan kasus tersebut dan mencegah terjadinya pembunuhan lain, jika ia ingin melarikan diri dari mimpi buruk melewatkan Natal di Norfolk. Sementara itu, seseorang berdarah dingin juga sedang berencana melakukan sesuatu pada Hercule Poirot.",2025,368,"3,68",Suspenseful,Thrilling,Dark,covers/malam_sunyi_hercule_poirot.jpg
69,The Otherwhere Post,Mystery/Thriller,Emily J. taylor,"Tujuh tahun lalu, terjadi pembunuhan massal yang menewaskan semua penduduk salah satu dari tiga dunia yang diakui. Dan, ayah Maeve menjadi tersangka utama. Terpaksa hidup dalam persembunyian, Maeve mendadak mendapatkan surat anonim yang menyatakan: Ayahmu tidak bersalah. Bertekad untuk mencari tahu, Maeve pun memalsukan identitas agar bisa menjadi magang di The Otherwhere Post, satu-satunya tempat yang mengajari para kurirnya seni tera scriptomancy—sejenis sihir gelap dan berbahaya—yang membuat mereka mampu berpindah di antara dua dunia yang tersisa, untuk mengantarkan surat dari orang-orang yang terpisah jarak. Satu-satunya tempat yang menyimpan semua catatan pengiriman surat. Sekaligus tempat ayah Maeve berkembang menjadi scriptomancer yang sangat hebat. Namun, baru beberapa jam, penyamarannya sudah dibongkar oleh Tristan, kurir yang ditunjuk sebagai mentornya. Dan, dalam hitungan minggu, Maeve berulang kali nyaris tewas karena jelas ada yang tidak suka dia melakukan investigasi terkait sejarah kelam sang ayah. Maeve tahu dia makin dekat dengan kebenaran. Namun, ketika hidup orang-orang di sekitarnya ikut terancam, Maeve harus memilih: tetap berjuang membersihkan nama ayahnya sekaligus membebaskan hidupnya sendiri, atau kembali melarikan diri sebelum seseorang benar-benar mati?",2025,483,"3,96",Suspenseful,Thrilling,Dark,covers/the_otherwhere_post.jpg
70,Misteri Aksara Kematian,Mystery/Thriller,RAGIEL JP,"Aksara dan Alinea sedang mempersiapkan perlombaan drama yang akan diikuti klub drama Sekolah Tunas Bangsa ketika berita kematian Sinta menyebar. Sementara itu, Julian, si anak fotografi yang menemukan Sinta dalam keadaan mati gantung diri, menuduh klub drama lah yang telah membunuh gadis itu. Hasil penyelidikan polisi menyimpulkan bahwa kasus kematian Sinta mirip dengan kasus kematian seorang gadis lain sebelumnya. Kedua kematian itu memiliki benang merah dengan platform penulisan bernama Aksara Kematian (AK). Aksara dan Alinea pun ikut membantu polisi memecahkan kasus, sekaligus untuk membuktikan bahwa klub drama tidak bersalah, tanpa mereka sadari ada sesuatu yang besar membahayakan nyawa mereka.",2025,280,"3,68",Suspenseful,Thrilling,Dark,covers/misteri_aksara_kematian.jpg
71,Apartemen Sebelas,Mystery/Thriller,Mare,"Jihan Zahrani dan teman-temannya di majalah Akhbaruna mendapatkan banyak berita kriminal pasca revolusi Mesir 2011. Nahas, dari semua pemberitaan kriminal, salah satu­nya terjadi di gedung Apartemen Sebelas, tempat tinggal Jihan. Pemerkosaan. Pembunuhan. Bunuh diri. Jihan pun berada di persimpangan: mampukah ia bertahan di apartemen ini, atau haruskah ia pergi? Karena kini, ada sebuah bola mata yang memata-matai",2025,216,"2,94",Dark,Suspenseful,Thrilling,covers/apartemen_sebelas.jpg
72,November Fog,Mystery/Thriller,Ariya Gesang,"Di tengah maraknya aksi pengeboman terhadap tempat-tempat ibadah, kepolisian kembali dibuat kebingungan oleh serangkaian pembunuhan sadis yang korbannya adalah para pejabat penting. Anehnya, setiap adegan pembunuhan tampak persis seperti yang tertulis dalam novel horor berjudul Jombi. Apakah ini kebetulan, ataukah sang pembunuh terinspirasi dari halaman-halaman kelam novel itu? Mungkinkah si penulis sendiri terlibat, atau ada dalang yang lebih licik di balik semua ini? Satu hal yang pasti, polisi harus berpacu dengan waktu sebelum imajinasi dalam dunia fiksi berubah menjadi kenyataan yang kelam.",2025,288,"4,36",Suspenseful,Thrilling,Dark,covers/november_fog.jpg
73,The Fourth Monkey,Mystery/Thriller,J.D. Barker,"Tewasnya seorang pria yang tertabrak—entah murni kecelakaan atau sengaja menabrakkan diri—menyisakan tanda tanya besar. Pasalnya, ia membawa sebuah kotak berisi potongan telinga. Disinyalir, ia adalah Pembunuh Empat Monyet, buron polisi selama hampir lima tahun. Dengan dalih filosofi Tiga Monyet Bijak, ia selalu memotong telinga, lidah, dan mencongkel mata korban-korbannya sebelum membunuhnya. Polisi dan detektif pun berusaha menguak kebenarannya lewat barang bukti yang tertinggal, termasuk buku harian tentang masa kecil sang pembunuh. Sementara itu, di satu tempat entah di mana, seorang gadis sedang berusaha bertahan hidup dengan satu telinga.",2024,508,"4,25",Suspenseful,Thrilling,Dark,covers/the_fourth_monkey.jpg
74,Misteri Bilik Korek Api,Mystery/Thriller,Ruwi Meita,"Sunday, gadis berdarah Ambon yang tak pernah melihat Ambon, mendedikasikan hidupnya untuk membantu dan mengurus anak-anak panti asuhan tempat dia juga diasuh. Semua anak menyukainya dan menjadi sahabatnya, kecuali Emola—yang juga seorang gadis Ambon, tetapi berperilaku misterius dengan masa lalu yang gelap. Sejak mereka pindah ke panti asuhan baru dan menemukan sebuah bilik tersembunyi yang dipenuhi dengan korek api, perilaku Emola menjadi makin misterius dan aneh. Satu per satu anak-anak panti asuhan pun mengalami kecelakaan yang janggal. Apakah Emola adalah penyebab semua kejadian ini? Ataukah ada kekuatan jahat lain yang mengintai dari balik bayangan?",2024,224,"3,86",Suspenseful,Dark,Thrilling,covers/misteri_bilik_korek_api.jpg
75,Detektif Swasta Mami Suzuki,Mystery/Thriller,Simon Rowe,"Di balik pesona jalanan yang teratur dan penduduk yang tertib, kota pelabuhan Kobe sesungguhnya tidak baik-baik saja. Bisnis mengalir segencar angin musim semi Haru-ichiban bagi Mami Suzuki, pegawai hotel pada siang hari, detektif swasta pada malam hari. Siapakah yang berani mencuri dari seorang pedagang mutiara terbesar di Jepang? Di manakah keberadaan seorang koki sushi ternama dan mengapa pisaunya turut lenyap? Apa sesungguhnya penyebab tewasnya saudara seorang guru upacara minum teh? Dan apa hubungan pulau kucing dengan seorang perawan kuil Shinto yang hamil? Dari pelabuhan Kobe hingga pesisir Laut Jepang, wilayah subtropis Okinawa, dan pulau terpencil di Laut Pedalaman Seto, setiap petualangan baru menghasilkan kebenaran yang mutlak—bahwa ada dua sisi dalam setiap cerita nahas.",2024,300,"3,86",Suspenseful,Reflective,Thrilling,covers/detektif_swasta_mami_suzuki.jpg
76,Darah di Meadowbrook,Mystery/Thriller,Jessica Goodman,"Tragedi itu terjadi pada minggu pertama tahun senior di akademi Meadowbrook. Amy terbangun dalam kesunyian kamar asrama yang ditempatinya bersama Sarah. Aneh. Biasanya suara tawa cekikikan Sarah atau lagu ABBA akan terdengar begitu Amy keluar dari ruangan tempat tidurnya. Pagi ini berbeda. Semalam mereka bertengkar hebat. Selama mereka bersahabat, rasanya baru kali ini Amy sangsi proses berbaikan mereka akan menjadi hal yang mudah. Kali ini, giliran Sarah yang HARUS meminta maaf padanya. Tiba-tiba, Amy mencium bau anyir yang menusuk. Menyengat dan memenuhi kamar mereka. Amy pun mendekati ruangan tempat tidur Sarah. Lalu berteriak memanggil Sarah dengan sangat lantang. Yang dilihatnya, lampu di kamar Sarah terguling di lantai. Noda merah tebal mengering di lantai kayu di dekat jendela. Amy pun menjerit.",2026,408,"3,55",Suspenseful,Dark,Thrilling,covers/darah_di_meadowbrook.jpg
77,Inflicting Fear,Mystery/Thriller,Nadia Hana Abraham,"Lila Stone menemukan dirinya terbangun di dalam sebuah peti batu. Ia terjebak dan hanya menunggu waktu hingga ajal menjemputnya. Inilah ketakutan terbesarnya, yaitu terperangkap dan menjadi tidak berdaya, lalu mati secara perlahan-lahan dalam bayangan dosa masa lalu. Di dalam kegelapan dan berjuang untuk menahan kematiannya, ia tahu bahwa dendam menolak untuk diabaikan. Kekasih Lila, Michael Auden meminta bantuan Seraia Prescott, seorang pemburu vampir dan penyelidik amatir untuk mencari keberadaan Lila. Penyelidikan Seraia membawanya ke Kota Amber Rose di mana dua jenazah wanita yang mengenaskan ditemukan dan seorang anak menghilang. Sekilas, ketiga kasus ini kelihatannya tidak saling terhubung. Namun semakin dalam penyelidikan Seraia berkembang ke kebenaran, semakin Seraia menyadari bahwa masa lalu Lila telah menyeretnya ke dalam mimpi buruk penuh teror di mana batas antara cinta, dendam, obsesi, dan pengkhianatan mengabur.",2026,400,4,Dark,Suspenseful,Thrilling,covers/inflicting_fear.jpg
78,Rumah Lebah,Mystery/Thriller,Ruwi Meita,"Mala, gadis kecil berusia enam tahun yang terobsesi dengan ensiklopedia. Dia hanya membaca buku ensiklopedia dan selalu mengurutkan buku satu sampai buku terakhir dari sisi kiri ke sisi kanan. Dia juga tertarik dengan beruang. Di rumah, Mala hanya tinggal bersama orangtuanya, tetapi dia selalu membicarakan enam orang asing yang hidup bersama di dalam rumahnya. Dia selalu takut pada Satira, bersahabat dekat dengan Wilis, berbicara dengan Tante Ana yang suka berdandan, belajar bahasa Spanyol dengan Abuela, dan si Kembar yang hanya bisa mendengar, melihat dan mencatat. Siapakah sebenarnya enam orang asing yang selalu dibicarakan Mala? Rahasia apakah yang dimiliki oleh enam orang asing tersebut?",2026,284,"4,2",Suspenseful,Dark,Reflective,covers/rumah_lebah.jpg
79,Sang Eksekutor,Mystery/Thriller,Tere Liye,"Di sebuah negeri, penegakan hukum kacau balau. Pada yang kecil hukum sangat bengis, pada yang kuat hukum bisa diatur semaunya. Maka seorang eksekutor datang menghabisi petinggi negeri. Mulai dari menteri, jenderal polisi, jaksa, hakim, pengacara, dibunuh satu per satu. Negeri itu menjadi chaos, rakyat terinspirasi dari pembunuhan berantai itu, demonstrasi besar meletus di mana-mana. Siapa Sang Eksekutor ini? Apa masalahnya dengan masa lalu? Dan, apakah nasib Presiden berakhir sama di tangan Sang Eksekutor?",2026,368,"4,5",Suspenseful,Thrilling,Dark,covers/sang_eksekutor.jpg
